Name, Discomfort, Time, Accuracy, Posture, AngleDis, InterDis, YAxisDis, HyperDis, ActualHandThumbIP, ActualHandThumbMP, ActualHandThumbTMCx, ActualHandThumbTMCy, ActualHandThumbTMCz, ActualHandThumbTMCw, ActualHandindexDIP, ActualHandindexPIP, ActualHandindexMCPx, ActualHandindexMCPy, ActualHandindexMCPz, ActualHandindexMCPw, ActualHandmiddleDIP, ActualHandmiddlePIP, ActualHandmiddleMCPx, ActualHandmiddleMCPy, ActualHandmiddleMCPz, ActualHandmiddleMCPw, ActualHandringDIP, ActualHandringPIP, ActualHandringMCPx, ActualHandringMCPy, ActualHandringMCPz, ActualHandringMCPw, ActualHandpinkyDIP, ActualHandpinkyPIP, ActualHandpinkyMCPx, ActualHandpinkyMCPy, ActualHandpinkyMCPz, ActualHandpinkyMCPw, ActualHandRotx, ActualHandRoty, ActualHandRotz, ActualHandRotw, ActualHandPosx, ActualHandPosy, ActualHandPosz, GivenHandThumbIP, GivenHandThumbMP, GivenHandThumbTMCx, GivenHandThumbTMCy, GivenHandThumbTMCz, GivenHandThumbTMCw, GivenHandindexDIP, GivenHandindexPIP, GivenHandindexMCPx, GivenHandindexMCPy, GivenHandindexMCPz, GivenHandindexMCPw, GivenHandmiddleDIP, GivenHandmiddlePIP, GivenHandmiddleMCPx, GivenHandmiddleMCPy, GivenHandmiddleMCPz, GivenHandmiddleMCPw, GivenHandringDIP, GivenHandringPIP, GivenHandringMCPx, GivenHandringMCPy, GivenHandringMCPz, GivenHandringMCPw, GivenHandpinkyDIP, GivenHandpinkyPIP, GivenHandpinkyMCPx, GivenHandpinkyMCPy, GivenHandpinkyMCPz, GivenHandpinkyMCPw, GivenHandRotx, GivenHandRoty, GivenHandRotz, GivenHandRotw, GivenHandPosx, GivenHandPosy, GivenHandPosz
Unnamed, 556.0208, 3.148059, 0.3055386, flat, 171.2807, 373.8694, 81.64153, 9.434143, 18.80276, 9.08744, -0.2169814, 0.3836704, 0.3836704, 0.8114882, 6.394116, 5.108487, -0.1699915, 0.06678737, 0.06678737, 0.9809087, 8.350449, 7.311342, -0.1850488, -0.04457378, -0.04457378, 0.9807056, 7.323033, 5.627582, -0.2076077, -0.1583494, -0.1583494, 0.9522342, 8.405809, 6.972151, -0.1921771, -0.3620067, -0.3620067, 0.8372397, -0.1176294, 0.254001, 0.254001, 0.9258134, 0.1143899, -0.01496553, -0.01496553, 30.82505, 15.41253, -0.0128905, 0.328442, 0.328442, -0.885486, 24.39239, 30.49048, -0.03232657, 0.2266126, 0.2266126, 0.946704, 77.45037, 96.81297, 0.5266382, 0, 0, 0.8500896, 18.60654, 23.25818, 0.09356422, -0.1158971, -0.1158971, 0.9820293, 11.96912, 14.9614, 0.1646715, -0.3218288, -0.3218288, 0.8750634, 0, 0, 0, 1, 0, 0, 0
Unnamed, 683.2576, 4.456565, 0.2297476, flat, 145.398, 579.2805, 50.91871, 1.069824, 19.93916, 7.932192, -0.2247804, 0.3823858, 0.3823858, 0.8105776, 7.760305, 6.299802, -0.168932, 0.05513073, 0.05513073, 0.9825392, 10.24321, 9.536835, -0.1740191, -0.0528148, -0.0528148, 0.9819056, 9.378192, 7.539603, -0.1991538, -0.1505897, -0.1505897, 0.9565476, 9.971451, 8.078516, -0.2011693, -0.3411978, -0.3411978, 0.8524665, -0.1166041, 0.2254135, 0.2254135, 0.940628, 0.07955852, -0.02311325, -0.02311325, 5.76056, 2.88028, -0.3654401, 0.1653261, 0.1653261, -0.9009928, 53.6392, 67.049, 0.1454431, 0.0996714, 0.0996714, 0.979274, 18.53169, 23.16461, -0.009335891, 0, 0, 0.9999564, 67.89788, 84.87235, 0.2503356, -0.04901699, -0.04901699, 0.9656743, 18.60259, 23.25324, 0.411287, -0.136589, -0.136589, 0.890803, 0, 0, 0, 1, 0, 0, 0
Unnamed, 717.2287, 14.6946, 0.08739817, flat, 186.6216, 772.2943, 126.466, 0.4600525, 20.31085, 1.981298, -0.2402164, 0.3135798, 0.3135798, 0.8634996, 5.782318, 6.128391, -0.1927217, 0.05488747, 0.05488747, 0.9781785, 7.183459, 7.965506, -0.2014646, -0.0378097, -0.0378097, 0.9780352, 7.712611, 6.378211, -0.2169526, -0.1235062, -0.1235062, 0.9604291, 8.618282, 7.118909, -0.2158, -0.3051852, -0.3051852, 0.8758735, -0.03078969, 0.280496, 0.280496, 0.91744, 0.1603941, -0.05902177, -0.05902177, 28.84794, 14.42397, -0.2344744, 0.2034367, 0.2034367, -0.9285735, 62.26132, 77.82665, 0.5164206, 0.1464207, 0.1464207, 0.8309222, 45.53135, 56.91419, -0.004015004, 0, 0, 0.999992, 4.343482, 5.429352, 0.6074677, -0.06892762, -0.06892762, 0.7883407, 74.94381, 93.67976, 0.414011, -0.2279499, -0.2279499, 0.851277, 0, 0, 0, 1, 0, 0, 0
Unnamed, 603.2487, 25.04854, 0.06053272, flat, 181.0502, 680.1332, 87.12897, 10.45541, 5.968214, 2.168891, -0.06746408, 0.3759507, 0.3759507, 0.8442575, 10.41954, 11.70999, 0.01212177, 0.07774768, 0.07774768, 0.993863, 11.054, 11.58611, -0.005329996, -0.02646148, -0.02646148, 0.9992853, 11.19794, 11.52253, -0.02176777, -0.1172294, -0.1172294, 0.9859213, 14.07788, 3.743818, 0.04245754, -0.3007611, -0.3007611, 0.904037, 0.00619056, 0.3040316, 0.3040316, 0.9028241, 0.2515559, -0.05255838, -0.05255838, 25.40006, 12.70003, -0.2931748, 0.004985479, 0.004985479, -0.9560329, 77.28616, 96.60771, -0.05059897, 0.2059051, 0.2059051, 0.9553251, 18.7703, 23.46287, 0.6632202, 0, 0, 0.7484243, 74.78009, 93.47511, 0.4670749, -0.09315631, -0.09315631, 0.8743483, 11.1088, 13.886, 0.1973605, -0.2928989, -0.2928989, 0.8885209, 0, 0, 0, 1, 0, 0, 0
Unnamed, 489.845, 21.71891, 0.04219631, flat, 197.6857, 435.8596, 105.5022, 8.662384, 10.46345, 1.293012, -0.05859885, 0.3728769, 0.3728769, 0.847639, 9.295783, 9.95809, -0.06943633, 0.05707714, 0.05707714, 0.9943154, 8.756947, 9.300096, -0.09227376, -0.03333843, -0.03333843, 0.9946169, 8.351365, 7.682424, -0.1325182, -0.1114792, -0.1114792, 0.9785621, 8.331851, 8.357689, -0.09986975, -0.3387519, -0.3387519, 0.8720782, -0.01975013, 0.3224631, 0.3224631, 0.8897444, 0.2012301, -0.09890956, -0.09890956, 32.54902, 16.27451, -0.3984526, 0.2135798, 0.2135798, -0.8660271, 68.06255, 85.07819, -0.0221832, 0.2331728, 0.2331728, 0.9438056, 71.19916, 88.99895, 0.5428292, 0, 0, 0.8398431, 29.57877, 36.97347, 0.411377, -0.1093167, -0.1093167, 0.8982587, 57.64452, 72.05566, 0.3882909, -0.30858, -0.30858, 0.811657, 0, 0, 0, 1, 0, 0, 0
Unnamed, 377.3294, 21.18874, 0.0472793, flat, 199.3423, 206.9702, 126.5737, 0, 15.75946, 2.09443, -0.1956665, 0.360686, 0.360686, 0.8375714, 5.868688, 6.337596, -0.1433793, 0.08162066, 0.08162066, 0.9829133, 7.59905, 7.342726, -0.1713036, -0.0177098, -0.0177098, 0.9848999, 7.415291, 5.025391, -0.2075984, -0.1068166, -0.1068166, 0.9664799, 7.667976, 5.45582, -0.2213987, -0.2906277, -0.2906277, 0.884338, -0.04219681, 0.307195, 0.307195, 0.8997121, 0.1239259, -0.07047802, -0.07047802, 79.01029, 39.50515, -0.3214773, 0.2716284, 0.2716284, -0.8654989, 29.0872, 36.359, 0.405059, 0.1592647, 0.1592647, 0.8861133, 57.00811, 71.26014, 0.001962749, 0, 0, 0.9999981, 67.00899, 83.76124, 0.6636623, -0.0661653, -0.0661653, 0.7421568, 58.60668, 73.25835, 0.1671, -0.2513098, -0.2513098, 0.9196545, 0, 0, 0, 1, 0, 0, 0
Unnamed, 678.4157, 17.75937, 0.06078036, flat, 156.784, 829.3003, 81.92649, 8.491272, 19.35342, 3.470852, -0.1829788, 0.3883485, 0.3883485, 0.8154076, 11.16301, 7.18335, -0.1299033, 0.04823139, 0.04823139, 0.9891778, 11.09374, 8.706307, -0.1164858, -0.06339695, -0.06339695, 0.9891374, 9.906234, 8.529564, -0.1368271, -0.1299752, -0.1299752, 0.9733917, 9.357611, 8.30792, -0.1722623, -0.3069012, -0.3069012, 0.8842789, 0.03834406, 0.321246, 0.321246, 0.8900179, 0.1397741, -0.05743495, -0.05743495, 37.73956, 18.86978, 0.0113945, 0.162589, 0.162589, -0.9731392, 0.6269456, 0.783682, 0.5873777, 0.07415276, 0.07415276, 0.80249, 54.37498, 67.96872, -0.07403277, 0, 0, 0.9972558, 16.01753, 20.02192, 0.5944155, -0.03699592, -0.03699592, 0.8024542, 54.23977, 67.79971, 0.4199138, -0.1238677, -0.1238677, 0.8904976, 0, 0, 0, 1, 0, 0, 0
Unnamed, 866.6389, 21.42052, 0.04919561, flat, 169.7737, 764.1721, 195.4772, 8.590668, 35.37275, 28.93031, 0.04110808, 0.3344536, 0.3344536, 0.880109, 37.84133, 68.83862, 0.5203619, 0.03682398, 0.03682398, 0.8523565, 12.84078, 23.71676, 0.1214782, 0.005889529, 0.005889529, 0.9925591, 8.279129, 16.21511, 0.04659443, -0.05025245, -0.05025245, 0.9963827, 10.63106, 11.22783, -0.05945549, -0.2756422, -0.2756422, 0.9189711, -0.1081026, 0.2931823, 0.2931823, 0.9035498, 0.1481645, -0.04309458, -0.04309458, 43.1, 21.55, -0.0127589, 0.04267861, 0.04267861, -0.9980954, 38.69507, 48.36884, 0.583851, 0.1865355, 0.1865355, 0.7678066, 65.42752, 81.7844, -0.07489765, 0, 0, 0.9971913, 54.43304, 68.0413, 0.6990846, -0.0844112, -0.0844112, 0.7050037, 37.03542, 46.29428, 0.190196, -0.3242598, -0.3242598, 0.8680649, 0, 0, 0, 1, 0, 0, 0
Unnamed, 843.4155, 14.09831, 0.06428946, flat, 157.8094, 931.3353, 132.8277, 9.479462, 19.12453, 2.246289, -0.2620721, 0.3319062, 0.3319062, 0.843205, 5.81834, 4.933798, -0.1560946, 0.04835337, 0.04835337, 0.9853722, 6.439098, 7.179689, -0.1521701, -0.05047786, -0.05047786, 0.9857729, 6.674912, 5.742692, -0.1538886, -0.1287632, -0.1287632, 0.9711634, 7.234378, 6.263659, -0.1758808, -0.3082358, -0.3082358, 0.8826366, -0.02220801, 0.3066302, 0.3066302, 0.9008123, 0.1259409, -0.07314163, -0.07314163, 75.29095, 37.64547, -0.01433688, 0.1307197, 0.1307197, -0.9826593, 34.33579, 42.91974, 0.6822211, 0.120964, 0.120964, 0.7108516, 0.7752133, 0.9690167, 0.2508304, 0, 0, 0.968031, 53.41025, 66.76281, -0.07610853, -0.08363695, -0.08363695, 0.9900593, 28.88354, 36.10442, 0.3504842, -0.2272751, -0.2272751, 0.8796891, 0, 0, 0, 1, 0, 0, 0
Unnamed, 602.6802, 25.14834, 0.04863345, flat, 183.8089, 393.0704, 104.8049, 0, 19.20739, 6.228409, -0.1695939, 0.3822509, 0.3822509, 0.8240185, 6.709872, 6.830184, -0.1094007, 0.0662332, 0.0662332, 0.9895746, 8.199823, 8.660092, -0.1269013, -0.0400214, -0.0400214, 0.9902993, 7.647628, 6.763237, -0.1489883, -0.1235955, -0.1235955, 0.9732681, 8.329424, 6.882705, -0.1605397, -0.3209238, -0.3209238, 0.8764946, -0.004147863, 0.3229056, 0.3229056, 0.8896329, 0.130642, -0.1045283, -0.1045283, 29.64723, 14.82362, 0.0274033, 0.04492273, 0.04492273, -0.9976036, 19.58904, 24.48631, 0.5732625, 0.1967184, 0.1967184, 0.770697, 79.78342, 99.72928, 0.6958182, 0, 0, 0.7182179, 39.74357, 49.67946, 0.01630048, -0.1236575, -0.1236575, 0.9844552, 40.15359, 50.19199, 0.6103328, -0.27236, -0.27236, 0.6921951, 0, 0, 0, 1, 0, 0, 0
