Name, Rating, Discomfort, Comfort, InterDis, AbductionDis, HyperDis, RandomHandThumbIP, RandomHandThumbMP, RandomHandThumbTMCx, RandomHandThumbTMCy, RandomHandThumbTMCz, RandomHandThumbTMCw, RandomHandindexDIP, RandomHandindexPIP, RandomHandindexMCPx, RandomHandindexMCPy, RandomHandindexMCPz, RandomHandindexMCPw, RandomHandmiddleDIP, RandomHandmiddlePIP, RandomHandmiddleMCPx, RandomHandmiddleMCPy, RandomHandmiddleMCPz, RandomHandmiddleMCPw, RandomHandringDIP, RandomHandringPIP, RandomHandringMCPx, RandomHandringMCPy, RandomHandringMCPz, RandomHandringMCPw, RandomHandpinkyDIP, RandomHandpinkyPIP, RandomHandpinkyMCPx, RandomHandpinkyMCPy, RandomHandpinkyMCPz, RandomHandpinkyMCPw, RandomHandRotx, RandomHandRoty, RandomHandRotz, RandomHandRotw, RandomHandPosx, RandomHandPosy, RandomHandPosz
Unnamed, 5, 420.2371, 204.5352, 420.2371, 0, 0, 85.07834, 42.53917, -0.3609947, 0.10939, 0.10939, -0.919647, 0.8246518, 1.030815, 0.4158713, 0.01709084, 0.01709084, 0.9091023, 79.92943, 99.91179, 0.5110812, 0, 0, 0.8595325, 4.666424, 5.833031, 0.6574249, -0.007081721, -0.007081721, 0.7534536, 64.00102, 80.00128, 0.2581312, -0.02722622, -0.02722622, 0.9653423, 0, 0, 0, 1, 0, 0, 0
Unnamed, 8, 31.60576, 140.6725, 30.17027, 0, 0.7177429, 25.38451, 12.69226, -0.214404, 0.130208, 0.130208, -0.9592302, 22.91989, 28.64986, 0.4601724, 0.02089823, 0.02089823, 0.8873376, 23.77269, 29.71586, 0.4914441, 0, 0, 0.8709092, 59.1927, 73.99088, -0.006126031, -0.01177232, -0.01177232, 0.9998426, 44.46708, 55.58385, 0.3137175, -0.0335099, -0.0335099, 0.9483331, 0, 0, 0, 1, 0, 0, 0
Unnamed, 7, 180.7023, 159.5096, 89.879, 45.41166, 0, 14.95435, 7.477173, 0.02044631, 0.0655763, 0.0655763, -0.9954805, 74.8517, 93.56463, 0.3654814, 0.1312988, 0.1312988, 0.91211, 36.17583, 45.21978, 0.4958992, 0, 0, 0.8683801, 42.2236, 52.7795, 0.3996459, -0.06530531, -0.06530531, 0.9120053, 26.86654, 33.58318, 0.5805086, -0.1694882, -0.1694882, 0.7781757, 0, 0, 0, 1, 0, 0, 0
Unnamed, 2, 756.3036, 208.6236, 731.1448, 0, 12.57944, 20.94073, 10.47036, -0.1852494, 0.2891646, 0.2891646, -0.8935605, 79.05231, 98.81539, 0.6863786, 0.003508396, 0.003508396, 0.7272276, 4.733944, 5.917431, -0.0277162, 0, 0, 0.9996158, 79.28603, 99.10753, 0.5740169, -0.001975168, -0.001975168, 0.8188388, 10.98811, 13.73514, -0.08191679, -0.007211887, -0.007211887, 0.996587, 0, 0, 0, 1, 0, 0, 0
Unnamed, 5, 605.5121, 176.4501, 437.94, 66.56162, 17.22446, 10.86056, 5.430278, -0.2738694, 0.0715964, 0.0715964, -0.9564222, 77.71117, 97.13895, 0.6026468, 0.1930376, 0.1930376, 0.7498599, 5.061427, 6.326784, 0.1241426, 0, 0, 0.9922644, 70.51053, 88.13816, 0.03100398, -0.1246073, -0.1246073, 0.9838622, 35.37233, 44.21541, -0.03251585, -0.3460069, -0.3460069, 0.8714937, 0, 0, 0, 1, 0, 0, 0
Unnamed, 6, 214.688, 126.6635, 194.226, 10.23098, 0, 6.411027, 3.205514, -0.1867411, -0.02741078, -0.02741078, -0.9816441, 57.61354, 72.01692, 0.4543987, 0.09051593, 0.09051593, 0.8815529, 16.62763, 20.78454, 0.4043733, 0, 0, 0.914594, 34.59473, 43.24342, 0.4924161, -0.04444978, -0.04444978, 0.8680869, 22.5346, 28.16825, 0.363661, -0.1407742, -0.1407742, 0.9100088, 0, 0, 0, 1, 0, 0, 0
Unnamed, 6, 540.0579, 178.0912, 335.893, 102.0824, 0, 69.64897, 34.82449, 0.06514414, 0.05147241, 0.05147241, -0.9952173, 13.66195, 17.07744, 0.2578104, 0.2247513, 0.2247513, 0.9124185, 61.03453, 76.29316, 0.330914, 0, 0, 0.9436609, 69.76782, 87.20977, 0.5870553, -0.09682209, -0.09682209, 0.7978829, 5.277625, 6.597031, 0.6356402, -0.2578776, -0.2578776, 0.6804116, 0, 0, 0, 1, 0, 0, 0
Unnamed, 3, 236.5053, 107.0409, 230.0096, 0, 3.247864, 31.24425, 15.62213, -0.1619165, 0.04309815, 0.04309815, -0.9849204, 37.8567, 47.32087, -0.006567705, 0.04004038, 0.04004038, 0.9983739, 10.8293, 13.53662, 0.1039114, 0, 0, 0.9945866, 1.626969, 2.033711, -0.0197876, -0.02003277, -0.02003277, 0.9994028, 51.00767, 63.75958, 0.2947917, -0.05731626, -0.05731626, 0.9521174, 0, 0, 0, 1, 0, 0, 0
Unnamed, 8, 127.2039, 148.6131, 127.2039, 0, 0, 53.34328, 26.67164, -0.2222178, 0.3426456, 0.3426456, -0.846054, 17.03036, 21.28794, 0.3369605, 0.01236198, 0.01236198, 0.9413565, 5.482378, 6.852973, 0.2637228, 0, 0, 0.9645985, 24.69603, 30.87004, 0.08699942, -0.00654059, -0.00654059, 0.9961655, 34.42789, 43.03486, 0.4848445, -0.01722256, -0.01722256, 0.8742611, 0, 0, 0, 1, 0, 0, 0
Unnamed, 8, 458.747, 175.1061, 360.9607, 48.89316, 0, 61.64829, 30.82415, 0.006136216, 0.1948369, 0.1948369, -0.9612697, 72.9995, 91.24937, 0.5209129, 0.1334942, 0.1334942, 0.8324713, 1.767702, 2.209628, 0.1413882, 0, 0, 0.9899542, 10.44108, 13.05134, 0.2029595, -0.07752185, -0.07752185, 0.9730304, 60.46962, 75.58702, 0.4723674, -0.2026549, -0.2026549, 0.8335053, 0, 0, 0, 1, 0, 0, 0
